图片名称,用户名,颜色1,颜色2,颜色3,颜色4
SUMMER VACATION,Betta_Fish,#346EB7,#4897C0,#ACE2E4,#B4DEDA
SUNNY DAY SONG ／ ？←HEARTBEAT,Betta_Fish,#FEF5BA,#DD7461,#93C3E9,#94BAE1
SURF&SNOW,Betta_Fish,#A7534B,#BB837A,#DDB3A2,#FBF4EE
SWEET HURT (期間生産限定盤),Betta_Fish,#948564,#BDAF93,#C1B3A3,#D3C6B3
SWITCH,Betta_Fish,#1C1312,#462A27,#6B322D,#A1503C
Sacred Factor,Betta_Fish,#1B1B2D,#534768,#1D2228,#2F0422
Saving Light,Betta_Fish,#211A18,#674D49,#563935,#231F1C
Second Sparkle,Betta_Fish,#3F414E,#6A6772,#4A4D5C,#B9B9B9
Serment,Betta_Fish,#180F08,#49301B,#2B1B0E,#55371B
Seven Deadly Sins,Betta_Fish,#008926,#012C3C,#043546,#001F1A
Seven Doors,Betta_Fish,#121518,#5A6670,#99A4AE,#E9EFF4
Seyana.,kengwang,#FFFFFF,#FFC8C3,#FFFFFF,#FFFFFF
Shadow Shadow,Betta_Fish,#0C041B,#9B1D64,#263DC7,#9D8EE1
Shadow Shape,Betta_Fish,#332B34,#846168,#202539,#514657
Shangri-La,Betta_Fish,#4C3C57,#7B6A9C,#7981C0,#6A60A7
Shine a Light,Betta_Fish,#757575,#BBBBBB,#E5E5E5,#FAFAFA
Shogeki (Shock) - Orchestral Version [from ＂Attack on Titan Season 4＂] (Cover),Betta_Fish,#0B0B0D,#36343B,#454249,#67617B
Silver Sun,Betta_Fish,#6B919A,#70868B,#A6BEC3,#E7EDEB
Sing & Smile!!,Betta_Fish,#C09B88,#DBC3A9,#DBB19D,#F2E3DE
Singer,Betta_Fish,#C4CBDB,#9AA5BF,#B2D2D3,#E9E8E5
Sing！Shine！Smile！ ／ 未来の音が聴こえる【第12話盤】,Betta_Fish,#33346D,#1B3B64,#564A62,#1D2C71
Sparkling Daydream,Betta_Fish,#C7DCD5,#B0CECC,#9FB1BF,#86ACC3
Sparkly Spot,Betta_Fish,#C68DBA,#EE575E,#DD9886,#F9ECDF
Speak Now (Deluxe Edition),Betta_Fish,#FFFFFF,#E34843,#E3AB94,#FDF9F7
Speak Now (Taylor's Version),Betta_Fish,#0C0606,#2C1619,#5E2761,#000000
Special Holidays,Betta_Fish,#292F3D,#1E1A29,#2D3A4A,#2F374A
Speed of Light,Betta_Fish,#1E222F,#514E5D,#394F66,#5B404F
Stand By You,Betta_Fish,#110F12,#254055,#0973A5,#323481
Star Crossing Night (feat. GALI),Betta_Fish,#0D0B18,#3E5368,#3D6F86,#0B0A12
Starboy,Betta_Fish,#130712,#CF0745,#103B80,#09349C
Stardust,Betta_Fish,#B32E4B,#F29200,#732417,#622417
Starry Sky,Betta_Fish,#133C64,#0F3864,#69A0C5,#71A6C5
Steppin' out,Betta_Fish,#2A447E,#1B60A5,#678B45,#26376D
Stories,Betta_Fish,#383839,#294C99,#393939,#AD058E
Story of Hope,Betta_Fish,#17205B,#1B77A0,#7E121F,#1C091C
"Stranger Things： Soundtrack from the Netflix Series, Season 4",Betta_Fish,#430603,#40130D,#1D4F70,#173D54
Subtitle,Betta_Fish,#C0C0C0,#D3D3D3,#FFFFFF,#FCFCFC
Summer Pockets REFLECTION BLUE Arrange Album 'Edain',Betta_Fish,#05308C,#1079CB,#041974,#0678D0
Summer Pockets REFLECTION BLUE 『アスタロア』,Betta_Fish,#0598F8,#63D2ED,#51B8E7,#63D1E8
Summer Trap!!,Betta_Fish,#12B6D9,#0D48A2,#166E94,#0184CA
Surges,Betta_Fish,#426482,#6491B1,#3D5E7D,#305076
Sweet Ices Cream,Betta_Fish,#DF467F,#FFFFE7,#FDFAC7,#FCF7EA
Symbol IV ： Earth,kengwang,#70AA4E,#71B927,#517F33,#6BA732
Synchrogazer,kengwang,#E2E9F9,#F8FDFF,#F0F4F7,#DEEDFA
THE BOOK,Betta_Fish,#FE8E8E,#F0B8B8,#FFCDCC,#FCA6A6
THE MUSEUM,Betta_Fish,#C0DDE3,#6A849B,#D4D7D7,#F0F0F0
THE SECRET NiGHT,Betta_Fish,#212F37,#2D4D7C,#0D3569,#7A63A7
TITLE IDOL,Betta_Fish,#FCD7FF,#EFB1F0,#FAE4F9,#C5D4F5
TOP -Japanese ver.-,kengwang,#17264E,#3F4D71,#23345F,#121F49
TV Animation BLEACH Original Soundtrack 1,Betta_Fish,#F57D3C,#F6D4B9,#FBEDE9,#FAF7F5
TVアニメ 世界一初恋・世界一初恋2 オリジナルサウンドトラック,Betta_Fish,#8DC852,#E1F0D1,#FBFCF7,#F8F9F1
TVアニメ「BanG Dream! It's MyGO!!!!!」Original Soundtrack Vol.2,Betta_Fish,#252C3A,#38455B,#17202F,#161E29
TVアニメ「あんハピ♪」キャラクターソングシリーズ2,Betta_Fish,#EDDEE3,#FFFFFF,#D6B3B1,#F8F6F5
TVアニメ「うちのメイドがウザすぎる！」エンディングテーマ「ときめき☆くらいまっくす」 歌：鴨居つばめ（CV：沼倉愛美）＆高梨ミーシャ（CV：白石晴香）,Betta_Fish,#FFFB4A,#F6AD3A,#FF9F28,#FFF441
TVアニメ「うちのメイドがウザすぎる！」オープニングテーマ「ウザウザ☆わおーっす！」 歌：高梨ミーシャ（CV：白石晴香）＆鴨居つばめ（CV：沼倉愛美）,Betta_Fish,#F29EC2,#E6A1BE,#FFFFFF,#EAA4C8
TVアニメ「オーバーロードIV」エンディングテーマ「No Man's Dawn」 歌：前島麻由,Betta_Fish,#D6BAB7,#7279A5,#C6B0BC,#CAAFAF
TVアニメ「オーバーロードⅡ」エンディングテーマ「HYDRA」【通常盤】 歌：MYTH ＆ ROID,raspberry_kan,#D0E3F1,#C0D2E8,#DEE8F1,#CCD8E4
TVアニメ「オーバーロードⅡ」オープニングテーマ「GO CRY GO」【通常盤】 歌：OxT,Betta_Fish,#090407,#311B25,#4A3475,#4E2023
TVアニメ「オーバーロード」オープニングテーマ「Clattanoia（クラタノイア）」 歌：OxT（オクト）（オーイシマサヨシ × Tom-H@ck）,Betta_Fish,#070607,#076079,#127964,#241638
TVアニメ「ハイスクールD×D NEW 月光校庭のエクスカリバー」OPテーマ -「Sympathy」,Betta_Fish,#FBEBDB,#AF433B,#B1885C,#FBE4D2
TVアニメ「僕等がいた」Vocal Album 永遠,Betta_Fish,#F2DFE2,#F4EAEB,#FBF4F5,#FDFCFC
TVアニメ「冴えない彼女の育てかた♭」ギャルゲーカバーソング&ミニサウンドトラック Vol.3,raspberry_kan,#F1EFF4,#FDD6C7,#F1B4BB,#AD9DC1
TVアニメ「精霊使いの剣舞（ブレイドダンス）」エンディングテーマ「精霊剣舞祭（ブレイドダンス）」 歌：にーそっくすす,Betta_Fish,#0EB9E5,#13B5ED,#D3E3F3,#FBF9F8
TVアニメ『はたらく魔王さま！』オリジナルサウンドトラック,Betta_Fish,#242D48,#3D5077,#13193B,#304F85
TVアニメ『ウマ娘 プリティーダービー』ANIMATION DERBY Season 2 vol.2「木漏れ日のエール」,Betta_Fish,#5DA015,#CFE636,#73BE30,#EBECDA
TVアニメ『シュタインズ・ゲート』OPテーママキシシングル「Hacking to the Gate」,Betta_Fish,#EAE0C5,#F1E7CE,#FFFAF6,#F3F0EB
TVアニメ『ラブライブ！』オリジナルサウンドトラック「Notes of School idol days」,Betta_Fish,#F3DCCE,#44B6AC,#8FD3DE,#6E8FC5
TVアニメ『ワンパンマン』オリジナルサウンドトラック「ONE TAKE MAN」,Betta_Fish,#211E1D,#31788D,#045043,#7C2F1F
TVアニメーション「うみねこのなく頃に」OPテーママキシ 片翼の鳥,Betta_Fish,#242F39,#434E5C,#707D8E,#47566B
Take It Over,Betta_Fish,#22346A,#2C62D1,#463B5D,#453E5F
Taylor Swift Karaoke： 1989 (Deluxe Edition),Betta_Fish,#D4A07E,#7A6F79,#C4B29C,#DBDCD3
Taylor Swift Karaoke： reputation,Betta_Fish,#8A9696,#FCFCFC,#D5D5D5,#F6F7F6
Tennis Court,Betta_Fish,#1F2924,#3D5973,#2E5342,#105692
"Thank you, FRIENDS!!",kengwang,#4F89C9,#C3DDEE,#F8F8F8,#EDFFFF
Thanks You,Betta_Fish,#E3E7EA,#E7E8EC,#D0D4B9,#9BB09D
The 1st Album XOXO (KISS&HUG),raspberry_kan,#FEFEFC,#EB443B,#EE5550,#D9D9C9
The Asterisk War,Betta_Fish,#060000,#2B292D,#060000,#1C1616
The Best Buono!,Betta_Fish,#000000,#262525,#727272,#787677
The Best of Detective Conan (The Movie Themes Collection),Betta_Fish,#644E65,#1C2729,#9A3C22,#272F32
The Greatest Showman (Original Motion Picture Soundtrack),Betta_Fish,#0F152D,#24395E,#395887,#020A2F
The Moon,Betta_Fish,#13122B,#323557,#171635,#626A81
The More Lover Chapter,Betta_Fish,#CCCEDD,#DED8E2,#EED9EA,#ECBEC0
The Paradox（那刻夏原创同人曲）,Betta_Fish,#01473F,#192E2F,#01473F,#183030
The Song of You and Me（泡泡独唱）,Betta_Fish,#6CBFEB,#61CEEF,#6EC2E8,#FFFFFB
The snippet,Betta_Fish,#040404,#4D3D20,#213855,#000000
Through Patches of Violet,Betta_Fish,#1F1F40,#3A3699,#9667E7,#222842
"Tick-Tack, Tick-Tack",Betta_Fish,#2C394A,#2B2C3E,#323852,#98837A
Time Machine,raspberry_kan,#80AEA3,#F2F2EA,#E4D779,#94D2AD
Torches,Betta_Fish,#01060D,#00070D,#324747,#010C12
Tracel,Betta_Fish,#161615,#442522,#502721,#84152F
Transmissions (Deluxe Version),Betta_Fish,#0B0B1B,#273C7B,#415B75,#4590A7
Traveler,Betta_Fish,#115150,#3D6C6C,#166B72,#9CAA9D
Treasure,Betta_Fish,#413439,#4B4F5E,#F27C1C,#606078
Trip -innocent of D-,Betta_Fish,#051817,#303D3C,#899998,#637C79
True Colors,Betta_Fish,#A7DFFF,#C18CDE,#E5E561,#FAA97A
True Colors (Perfect Edition),Betta_Fish,#270A0E,#21033F,#2E158D,#260E62
Two Of Us,Betta_Fish,#8DA8CA,#84A2BA,#B9C9DA,#F8F8F8
UN-APEX,Betta_Fish,#C618A9,#810D60,#325D66,#2A2367
UNDER THE TREE,Betta_Fish,#FFFFFF,#FC7C7C,#D8C4B4,#FEFDFD
Unfragment Remixes feat Miku Hatsune,Betta_Fish,#72C3BD,#AAE9A3,#B3D5DF,#FCFBFB
VLP,Betta_Fish,#140A0A,#470C0E,#2B0B0C,#070506
VOCALO LOVERS feat.初音ミク,Betta_Fish,#E0DCD0,#6985A9,#BE9D88,#E1E3DE
VOCALOID BEST from ニコニコ动画 (あか),Betta_Fish,#4CB3B2,#24828A,#3196A2,#157E82
VOCALOID Fukase ~THE GREATEST HITS~,Betta_Fish,#F5C5C5,#F5C5C5,#FF5864,#F4C6C5
VOLUME I,Betta_Fish,#100F0E,#875216,#7C401B,#030303
VanaN'Ice,Betta_Fish,#0B0405,#5D2C2C,#520500,#521918
Violet Evergarden： Automemories,raspberry_kan,#EDEAE3,#D9A573,#985C52,#FFD899
W9 Hits 2013,Betta_Fish,#221C58,#F8923D,#E42C76,#422F8B
WHITE ALBUM キャラクターソング 緒方理奈,Betta_Fish,#CAC6C3,#B8B3AD,#FFFFFF,#BAB5AF
WHITE ALBUM2 VOCAL COLLECTION,Betta_Fish,#45564C,#586867,#4F4F59,#0E1720
Watch me!,Betta_Fish,#89E7CF,#E99DCB,#A6DFD3,#8DEBD1
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Betta_Fish,#F9F4D7,#4ABE95,#FD9178,#F8F3D6
We Won't Be Alone,Betta_Fish,#190517,#532A4C,#110420,#6C1D2B
Welcome to 僕らのセカイ ／ Go!! リスタート【第1話盤】,Betta_Fish,#AAC6FF,#FDA3C7,#C7D8F6,#FCFBF9
What Makes You Beautiful,Betta_Fish,#5B2920,#7C2D25,#693B21,#A54336
Who You Are Is Not Enough,Betta_Fish,#310D10,#3A161A,#361216,#722022
Who？,Betta_Fish,#F2F7E3,#F4DFE6,#AEAEAE,#EEFFF0
Wildfire,Betta_Fish,#0D0A09,#49362D,#38271F,#BE7C4C
Wings of Words,Betta_Fish,#060D14,#034458,#000000,#00202F
Wish You The Best,Betta_Fish,#847D60,#46412F,#897C5C,#867D60
Wish／Starless Night,Betta_Fish,#08151A,#11382B,#013C2A,#036937
XV,Betta_Fish,#0D0D0D,#3B0E6B,#0D0E61,#105CA4
YELLOW DANCER,Betta_Fish,#2A1931,#C91C51,#BF1A42,#2C2750
YOUTHFUL,Betta_Fish,#3F4430,#2E2E26,#221F1A,#6B7C50
YURUYURI♪2nd.Series BEST ALBUM 「ゆるゆりずむ♪2」,Betta_Fish,#E9929C,#F0A4A8,#F7DECA,#FBF3F2
Yesstory,Betta_Fish,#702E26,#9C7200,#AA8A08,#DFAA04
You,Betta_Fish,#479DCC,#72ADC1,#D5DCC9,#FEFEFD
You 1ove 1t,kengwang,#220301,#8D120B,#600606,#A5160E
Young Sinatra,kengwang,#E4E4E4,#E6E6E6,#D1D1D1,#DDDDDD
Yume,Betta_Fish,#8096A4,#A2B4C4,#CED0DA,#F4F6FF
ZENLESS,Betta_Fish,#110A24,#682F88,#277263,#3F2179
ZERO to ONE,Betta_Fish,#B4B4B4,#E68A8E,#C9C4C4,#E3E0DF
abgm (feat. 鏡音リン),Betta_Fish,#EAEBED,#F5F4F0,#DFCB96,#ECEDED
ark,Betta_Fish,#2F252D,#BD4709,#7D3565,#DB4F02
asphyxia,Betta_Fish,#02021E,#0A486F,#0A3E65,#19699A
black bullet,Betta_Fish,#121833,#A00024,#4C214E,#103257
brave heart,Betta_Fish,#7BFFAC,#9DF9C6,#99F9BC,#CAF7E3
brave heart -tri.Version-,Betta_Fish,#66160F,#620F0B,#00425A,#080A09
cho em theo anh nhé .,Betta_Fish,#1D1C25,#4A464D,#1B1A22,#593E4A
crossing field,Betta_Fish,#0E172D,#28375E,#3366A8,#213457
database,kengwang,#050702,#0E100F,#64191B,#0C0E0B
debut,Betta_Fish,#784774,#7F647E,#C7A9B5,#FAF0F5
ebb and flow,Betta_Fish,#0A243F,#175B7E,#1A82B1,#184765
escalate,Betta_Fish,#000000,#403F4F,#000000,#000000
final phase,Betta_Fish,#050A0E,#0E1319,#274351,#214A60
folklore： the long pond studio sessions (from the Disney+ special) (deluxe edition),kengwang,#4B4B4B,#050505,#353535,#0C0C0C
give it back,Betta_Fish,#E7D1BA,#E0EADF,#9CB49C,#CCD7C7
humble music,Betta_Fish,#41386D,#D350A0,#D43329,#343381
i Love,Betta_Fish,#426AA7,#499B2F,#2A3F38,#262D37
illuminate,Betta_Fish,#271E20,#573E33,#4C341C,#52361E
infinite synthesis,Betta_Fish,#BEDEF7,#7C9CCF,#FFFFFF,#F7FAFB
juice,Betta_Fish,#B0D182,#F8CACC,#ADCFEB,#F7EA59
lull～そして僕らは～,Betta_Fish,#E6F4F7,#C3DFEB,#F7FBFC,#DBEEF5
memories,Betta_Fish,#ADCE65,#EDFBC6,#F4DD80,#E8EECA
merchen ticktack ／ マジカル☆スタイリング,Betta_Fish,#9F8FF3,#D878BA,#6BC3D1,#F3EADA
moment,Betta_Fish,#EEECDD,#F0EDDE,#CA9D6B,#E9E6D5
not ALONE not HITORI ／ ミラクル STAY TUNE！ ／ Shooting Voice!!【Liella!盤】,Betta_Fish,#434961,#1952B1,#B88044,#0C194D
oath sign,Betta_Fish,#DDDDDD,#928EA9,#DBD2D7,#FBFBFC
poco A poco,Betta_Fish,#5E5361,#C09DA9,#DED4E0,#F1F0F4
request,Betta_Fish,#035F8B,#05A0BC,#018DB1,#082E5B
reunion,Betta_Fish,#F7E2D1,#8CCCE3,#FBEEDE,#F4C3D8
secret base ~君がくれたもの~ - EP,Betta_Fish,#F2E16D,#EAAC45,#ECBF58,#EDECE0
smile smile ship Start!,Betta_Fish,#316B9C,#255D8B,#1A7EC5,#0C5694
spiral,Betta_Fish,#82B155,#7FAA4F,#EABA35,#739F46
star trail,Betta_Fish,#1C2D5D,#394E88,#825D86,#2D3767
starlog,Betta_Fish,#15244D,#312675,#1D1733,#56336D
who are you,Betta_Fish,#B56A29,#7A361D,#600100,#7F7E48
youthful beautiful,Betta_Fish,#CBD0D6,#C1C4A9,#D8DEDE,#E4E3DD
μ's Best Album Best Live! Collection Ⅱ,Betta_Fish,#4D4080,#D23669,#AE89A3,#1B2584
๏ เ เ ค เ ๏ ๏ ๏ ๏ ๏ เ ค เ,Betta_Fish,#178890,#15392F,#1E675E,#14413E
≒,Betta_Fish,#4CA9CB,#398FAA,#3D628F,#C9CA2E
☆★Best the LM.C★☆2006-2011SINGLES,Betta_Fish,#FEFEFE,#D7D1FF,#D6ECF9,#FFFDCF
♡桃色片想い♡,Betta_Fish,#F37AA7,#F078A5,#FFABB4,#F2B1C8
♡桃色片想い♡ (Cover),Betta_Fish,#F761A6,#FBA7D2,#74E3CD,#FC98CE
《初音速》游戏原声音乐,Betta_Fish,#1C2734,#16202C,#19232F,#16545F
《喜羊羊与灰太狼》音乐原声带合辑,Betta_Fish,#3F3B60,#1D1232,#638C18,#5E256A
《灵魂潮汐》同名单曲,Betta_Fish,#1F254F,#405393,#6F88D0,#131D50
「かつて魔法少女と悪は敵対していた。」Music Collection,Betta_Fish,#F3E7DB,#C7BAC4,#B598B6,#F1E2DB
「ツバサ・クロニクル」オリジナルサウンドトラック Future Soundscape II,Betta_Fish,#5DB5E7,#477F8C,#0B493E,#17736E
「会長はメイド様！」オリジナル・サウンドトラック,kengwang,#FFFCFF,#FFFFFF,#FFBD95,#F8F6F3
「傷物語」劇伴音楽集 其ノ貳 熱血篇,raspberry_kan,#123D50,#86ADC1,#0D4874,#164A62
「劇場版デート・ア・ライブ 万由里ジャッジメント」ORIGINAL SOUNDTRACK,Betta_Fish,#EEEBA6,#EEEEBA,#D7E29E,#FDFBEC
「名探偵コナン」メインテーマ,Betta_Fish,#462D1F,#C34924,#BB926B,#EADBB7
「機動戦士ガンダムSEED」エンディングテーマ　あんなに一緒だったのに,Betta_Fish,#FFFFFF,#C2C4C3,#9DACC1,#FF99AD
「爆走兄弟レッツ&ゴー!!WGP」超速テーマ・コレクションDASH,Betta_Fish,#3A3D4F,#0F253A,#77444B,#162836
「負けヒロインが多すぎる！」マケイン応援！カバーソングコレクション,Betta_Fish,#3CB6FF,#53B5EB,#FFEB00,#F6F7F3
「進撃の巨人」[进击的巨人],Betta_Fish,#A09287,#899291,#AF9E8F,#E3D3BE
「進撃の巨人」オリジナルサウンドトラック,Betta_Fish,#91B2D3,#3B6C8A,#517AB5,#AAD2F2
「飞彩镌流年」游戏原声EP专辑,raspberry_kan,#912F2C,#752F4B,#CB6F86,#683019
『ウマ娘 プリティーダービー』WINNING LIVE 08,Betta_Fish,#563DE3,#108AED,#353CE4,#1FBAF0
『ペルソナ5』オリジナル・サウンドトラック,Betta_Fish,#050202,#F30505,#000000,#000000
『ヨスガノソラ』オリジナルサウンドトラック-New-,Betta_Fish,#5F4F2E,#49371F,#418A76,#89B99F
『劇場版 響け！ユーフォニアム～届けたいメロディ～』オリジナルサウンドトラック「The only melody」,Betta_Fish,#824C5C,#2882B9,#85C5E5,#E0EEF6
『名探偵プリキュア！』主題歌シングル先行配信,Betta_Fish,#FFFFFF,#FFB9DD,#BAE4FA,#F7ED69
『小鳥遊六花・改~劇場版 中二病でも恋がしたい! ~』主題歌集 ~中二病奥義・三曲の極み~,raspberry_kan,#FCFFF8,#8D67E7,#E86069,#E37AAB
【2023拜年纪】原神同人单曲 - 童年烟火,Betta_Fish,#3E2627,#9A6856,#9F6863,#473D3E
【はたらく細胞】ミッション！ 健・康・第・イチ,Betta_Fish,#FFFFFF,#E7B2AC,#EAAA9E,#F9F6F4
【原神新春会】归途,raspberry_kan,#E2ACCC,#F5EBF3,#9B7EC5,#F9CFF7
【星火行动】朝汐（泠鸢&双笙）,raspberry_kan,#062F46,#2A7592,#48B1C9,#D5E0E3
【正太版】小孩小孩,Betta_Fish,#C3B87A,#FFF6CF,#FFF6CF,#F9F0D8
あいしていたのに,Betta_Fish,#060606,#565657,#525252,#777777
あさき、ゆめみし,Betta_Fish,#073B7D,#0D65AA,#75AACC,#033678
あなたに出会わなければ〜夏雪冬花〜／星屑ビーナス,Betta_Fish,#111424,#2B415E,#5778A2,#A8C4E1
ありふれてたい,Betta_Fish,#8D637B,#B06260,#844F61,#420A09
ある日…永遠みたいに！,Betta_Fish,#373E58,#8F636E,#CE9093,#B2808C
いらないもの,Betta_Fish,#FEEF30,#FFDB48,#FDF12B,#F37775
いろはに咲きて,Betta_Fish,#141315,#651419,#141C21,#1A2127
うぃーきゃん☆フレフレっ！,Betta_Fish,#92E7C0,#A1E6F6,#5A82FC,#E6E2E0
うまるん体操 (TV size),Betta_Fish,#583346,#8B96B1,#E3C093,#EBEDEF
えがおのオーケストラっ！,Betta_Fish,#A7D7FF,#DDD6FF,#F9D94F,#EE7676
おきみやげをあげる,Betta_Fish,#8D2210,#922307,#C16615,#BE551C
おとなの掟,Betta_Fish,#EAEFF2,#ABB1B8,#C8CFD5,#EAEEF1
おべか,Betta_Fish,#729658,#DC9D80,#A7C080,#F2E5C5
おやすみなさん!,Betta_Fish,#524B6C,#1C69B7,#344F9C,#4FADC5
お手上げサイキクス,Betta_Fish,#C71113,#8A0D0E,#580A0B,#450809
がらくた - JUNK,Betta_Fish,#2D1B19,#732B19,#985C26,#430707
きゅうくらりん (Cover),Betta_Fish,#FFAAD4,#FDF4F9,#FFF36D,#FFF36D
きゅ～まい＊flower,Betta_Fish,#FCDAEB,#FBF3B5,#E0D6F1,#C5FBD9
きゅ～まい＊flower (パラレルver.),Betta_Fish,#D4DEFF,#D5DEFF,#E7D0FF,#FFFFFF
けいおん!はいれぞ!「Come with Me!!」セット,Betta_Fish,#DEC6A4,#B9BEB7,#DCDED9,#DDDFDA
この世界で,Betta_Fish,#ACBAC5,#C1CAC9,#92A7B8,#B6C1C7
これはぼくたちの生存のあらすじ,Betta_Fish,#3B1755,#3C0403,#855501,#4E3401
さよならごっこ,Betta_Fish,#F0F0F0,#EEEEEE,#788187,#EEEEEE
さよならの今日に,Betta_Fish,#1A2D25,#50615E,#9D9D9B,#293833
しあわせなおとな,Betta_Fish,#A40519,#08469D,#671C7B,#1B1311
しう,Betta_Fish,#040404,#000000,#353535,#161616
すくりぃむ！,Betta_Fish,#821813,#F32B26,#F2A432,#F72318
すずめ feat.十明,kengwang,#50B0EC,#39A4D8,#EFF0E8,#F1E1A6
そして最後のページには,raspberry_kan,#E9E9F5,#EF7CBF,#E99811,#E35666
そして白に還る,Betta_Fish,#B9BDC0,#A6AFB4,#77767B,#C5CAD0
それぞれ歩き出そう【初回盤】,Betta_Fish,#414B1F,#8C9F53,#4B6A31,#2F4D27
それを愛と呼ぶだけ,Betta_Fish,#CC7D9A,#E3C3D2,#F5BABE,#F3F6ED
ただ、君のままで,Betta_Fish,#171D1B,#366D67,#3F736F,#76AEA1
たぶん終わり,kengwang,#FF9899,#FF9899,#FFC3C3,#8DDFF4
とある魔術の楽曲目録,raspberry_kan,#F4F4F4,#EFD77F,#C8D5E6,#FBFAFA
ときめきルールブック,Betta_Fish,#FBE78E,#AEDCF4,#FFBFF1,#E4D4FF
どんなときもずっと,Betta_Fish,#FFFC93,#FFD759,#DF9C41,#FEE475
にこ×にこ＝ハイパースマイルパワー！,Betta_Fish,#483958,#1B519B,#1C264A,#1F2971
ぬらりひょんの孫オープニングテーマEP,Betta_Fish,#C7868A,#89C4C8,#FFFFFF,#FFFFFF
ねむるピンクノイズ,Betta_Fish,#F5D0E2,#F5E4ED,#FAEFF5,#FEFEFE
のんのん日和,Betta_Fish,#313E2A,#38412C,#9E5427,#3B3D28
はいよろこんで (Cover),Betta_Fish,#2C315B,#1A2050,#1E2967,#5B378C
はじまりの日,Betta_Fish,#272739,#6A6475,#6F678E,#27506E
ふたつの月 ~Deep Into The Forest~,Betta_Fish,#181616,#690317,#151618,#0E0E14
ふゆびより (TVアニメ「ゆるキャン△」EDテーマ),Betta_Fish,#2F5A7F,#224C72,#72A9BE,#346085
ぼなぺてぃーと♡S／デタラメなマイナスとプラスにおけるブレンド考,Betta_Fish,#FF8A9C,#F29984,#FFF4CC,#FFFFFF
ぽっぴん'どりーむ！,Betta_Fish,#5AC45D,#CBF1FE,#839CDD,#96B7FC
まいほろう,Betta_Fish,#756F6F,#52433E,#584B45,#7B747C
ましろ色シンフォニー SANA EDITION Maxi Single,Betta_Fish,#4A5173,#8A7195,#4B5976,#536289
まだ雨はやまない,Betta_Fish,#EBD3CD,#FFE9F7,#EEDADC,#F1ECEB
まどのそと,Betta_Fish,#E9F4F8,#C1A78E,#B4A396,#E4EBF0
まばたき,Betta_Fish,#131417,#583728,#5F372D,#AD702F
まほろまてぃっく音楽编1,Betta_Fish,#698984,#79A46E,#1C174D,#6E9497
みちしるべ (アニメ盤),Betta_Fish,#FEFEFE,#FEFEFF,#FEFEFE,#F9F8F7
もしもからきっと,Betta_Fish,#3B3D77,#607ABF,#A6B0D5,#DAD8E8
ゆら・ゆらRing-Dong-Dance,raspberry_kan,#BED79D,#F6B7BF,#F8FFF8,#FEEDF7
ゆるゆり うた♪ソロ!06「イッツハッピーデイ!!」,kengwang,#FFFFFF,#E2DAE5,#E1BAC5,#F0E6DC
ゆるゆり うた♪ソロ!07「サクラコ☆いんとろでゅーす」,Betta_Fish,#AFDEF8,#14B7E7,#E6CEB4,#F6F7F7
ゆるゆり うた♪ソロ!08「恋はあまのじゃくですわ」,Betta_Fish,#FFFDF1,#FFDE90,#EBD6B9,#FDFDFC
ゆるゆり さん☆ハイ! 3,Betta_Fish,#62496F,#8E4161,#5C4A84,#F18A2E
ようこそジャパリパークへ,Betta_Fish,#FC606B,#D98264,#FEE6E2,#F5E8E6
らぶじゅてーむ,Betta_Fish,#3A3339,#ED9C9F,#7FBFD5,#F4CEC9
らんしゃましゃんしゃん♪,Betta_Fish,#EBB18B,#FBC28D,#EED8DA,#FAF4F0
わちゅごなどぅー,Betta_Fish,#936283,#76ACB7,#DBA673,#F4EBE1
アイドル新鋭隊／モア！ジャンプ！モア！,Betta_Fish,#F4BDE5,#FDCDD9,#F99DC2,#F4EDEC
アイワナムチュー,Betta_Fish,#2E1751,#9C324D,#4C8D98,#860D77
アインシュタインが解けなかった問題,kengwang,#EEEBE4,#EEEBE4,#E6DCD3,#F6EADC
アクセンティア,Betta_Fish,#0052A4,#094A99,#5090BF,#01429C
アゲハ蝶,kengwang,#6CCAF0,#97D8F8,#97DAF7,#95DAFB
アニップス,Betta_Fish,#9ED3C1,#3DA4BD,#FBFBE3,#FEF5DB
アニマル,Betta_Fish,#8C2150,#702144,#5B1933,#C13688
アニメ「A.I.C.O. Incarnation」Original Soundtrack,Betta_Fish,#030302,#282D29,#415343,#000000
アニメ「プリンセスコネクト！Re：Dive Season 2」エンディングテーマ「旅立ちの季節」,Betta_Fish,#7C7EB9,#95ACC4,#F0C1A9,#FAF8F6
アニメ「ポケットモンスターXY&Z」キャラソンプロジェクト集vol.2 -総集編-,raspberry_kan,#4AA7E4,#E7BE2A,#FFFFFF,#CFDB3B
アニメ『約束のネバーランド』オリジナルサウンドトラック Vol.1,Betta_Fish,#88955D,#207A9F,#1B7E9E,#247D9F
イシュカン・コミュニケーション,Betta_Fish,#032049,#002745,#958F40,#003E89
イナイイナイリブート,Betta_Fish,#20192B,#4F0001,#630102,#B60104
イナイイナイリブート (BONUS TRACKS),Betta_Fish,#1F1629,#3E0103,#021327,#710000
ウィークエンドロール,Betta_Fish,#EDE5D2,#44A4CB,#B9DDE9,#D8DED6
ウェザーステーション,Betta_Fish,#7A7A7A,#B2B2B2,#B4B3B3,#F2EBEA
